Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
ARCADE PULP,['win'],-40%,$5.97 ,$5.01 ,95%,117,,
Romance of the Three Kingdoms IX with Power Up Kit / 三國志IX with パワーアップキット,['win'],,$29.99 ,$20.99 ,87%,115,,
All Mia Games Bundle,['win'/ 'mac'/ 'lin'],-50%,,,84%,115,,
Romance of the Three Kingdoms X with Power Up Kit / 三國志X with パワーアップキット,['win'],-25%,$29.99 ,$20.99 ,78%,115,,
Bit.Trip.Core + Soundtrack,['win'/ 'mac'],-80%,$11.99 ,$1.55 ,60%,114,,
STAR WARS™ Episode I Racer,['win'],-25%,$9.99 ,$7.49 ,83%,112,,
BIT.TRIP CORE,['win'/ 'mac'],,$9.99 ,$0.99 ,59%,111,,
SlyGames✅ Bundle,['win'/ 'mac'/ 'lin'],-55%,$25.79 ,$12.54 ,54%,110,,
SlyGames✅ Bundle,['win'/ 'mac'/ 'lin'],-33%,$25.79 ,$20.19 ,54%,110,,
Shiv games bundle,['win'],-50%,$1.98 ,$1.37 ,91%,103,,
iZBOT,['win'],,$11.99 ,$1.19 ,82%,103,,
The Miskatonic,['win'/ 'mac'],-20%,$5.99 ,$4.01 ,92%,101,,
Rocket League® - Hot Wheels® Bone Shaker™,['win'/ 'mac'/ 'lin'],,$1.99 ,$0.99 ,91%,95,,
Rising Storm 2: Vietnam - Pulling Rank Cosmetic DLC,['win'],-90%,$7.99 ,$3.99 ,93%,94,,
ALONE?,['win'/ 'mac'/ 'lin'],-50%,$2.99 ,$1.19 ,43%,94,,
Zup! S,['win'],,$0.99 ,$0.84 ,89%,93,,
Point & Click Bundle,['win'],-30%,$15.98 ,$6.98 ,72%,93,,
DevilishGames Collection,['win'/ 'mac'],-15%,$16.97 ,$11.03 ,70%,93,,
Magicka: Vietnam,['win'],-50%,$4.99 ,$2.49 ,85%,89,,
BIT.TRIP FATE with Soundtrack,['win'/ 'mac'],-67%,$11.99 ,$1.55 ,64%,89,,
Planet Coaster - Adventure Pack,['win'],-85%,$10.99 ,$9.34 ,88%,87,,
Developer Bundle of Vidas Games,['win'],,$46.92 ,$31.77 ,79%,87,,
Big Collection,['win'],-50%,$39.90 ,$17.94 ,45%,87,,
BIT.TRIP FATE,['win'/ 'mac'],-75%,$9.99 ,$0.99 ,62%,86,,
FINAL FANTASY® XI: Ultimate Collection Seekers Edition,['win'],-51%,$29.99 ,$9.89 ,83%,84,,
kuso Collector's Edition,['win'/ 'mac'],,$7.98 ,$6.51 ,93%,83,,
kuso,['win'/ 'mac'],,$4.99 ,$4.49 ,93%,82,,
Hostile Waters: Antaeus Rising,['win'],-78%,$2.99 ,$1.01 ,97%,80,,
Planet Coaster - Studios Pack,['win'],,$10.99 ,$9.34 ,90%,80,,
Age of Fear 3: The Legend,['win'/ 'mac'/ 'lin'],,$24.99 ,$12.49 ,97%,79,,
Mahjong and Solitaire all in one bundle,['win'],-10%,$39.92 ,$11.40 ,72%,76,,
UBERMOSH: Original Soundtrack,['win'/ 'lin'],-75%,$3.99 ,$0.49 ,94%,75,,
Bad Dream: Fever,['win'/ 'mac'],-40%,$9.99 ,$7.99 ,66%,75,,
Robothorium - Deluxe Edition,['win'/ 'mac'/ 'lin'],-51%,$23.97 ,$18.64 ,82%,74,,
Uruca Game Studio BUNDLE,['win'],,$26.88 ,$13.67 ,82%,73,,
Marble It Up!,['win'/ 'mac'],-50%,$19.99 ,$16.99 ,98%,70,,
Mytheon,['win'],-32%,$9.99 ,$5.99 ,62%,70,,
BIT.TRIP VOID + Soundtrack,['win'/ 'mac'],-40%,$11.99 ,$1.55 ,78%,69,,
Rocket League® - Proteus,['win'/ 'mac'/ 'lin'],,$1.99 ,$0.99 ,89%,68,,
Woah Dave!,['win'/ 'mac'/ 'lin'],-15%,$4.99 ,$0.99 ,76%,68,,
Phantom Thief Celianna,['win'],-34%,$12.99 ,$9.74 ,88%,67,,
BIT.TRIP VOID,['win'/ 'mac'],-40%,$9.99 ,$0.99 ,77%,67,,
